Date,Close,Open,High,Low,Volume,Change%
2022-08-09,"1,258.85","1,256.75","1,263.14","1,252.84",721.64K,0.17%
2022-08-08,"1,256.75","1,252.36","1,258.84","1,252.04",699.34K,0.32%
2022-08-05,"1,252.74","1,250.25","1,253.75","1,245.05",698.64K,-0.11%
2022-08-04,"1,254.15","1,249.76","1,257.38","1,247.38",724.75K,0.35%
2022-08-03,"1,249.76","1,241.62","1,250.20","1,232.41",789.52K,0.66%
2022-08-02,"1,241.62","1,231.35","1,241.91","1,224.11",817.69K,0.83%
2022-08-01,"1,231.35","1,206.33","1,231.35","1,206.33",708.71K,2.07%
2022-07-29,"1,206.33","1,208.12","1,217.84","1,206.33",590.32K,-0.15%
2022-07-28,"1,208.12","1,191.04","1,214.03","1,191.04",668.86K,1.43%
2022-07-27,"1,191.04","1,185.07","1,191.04","1,178.58",445.14K,0.50%
2022-07-26,"1,185.07","1,188.50","1,194.15","1,184.44",434.80K,-0.29%
2022-07-25,"1,188.50","1,191.43","1,198.16","1,184.32",437.85K,-0.52%
2022-07-22,"1,194.76","1,198.47","1,202.69","1,194.76",477.95K,-0.31%
2022-07-21,"1,198.47","1,194.14","1,201.91","1,194.14",530.31K,0.36%
2022-07-20,"1,194.14","1,178.33","1,198.63","1,178.33",648.00K,1.34%
2022-07-19,"1,178.33","1,176.49","1,180.46","1,168.99",532.69K,0.16%
2022-07-18,"1,176.49","1,179.25","1,184.93","1,174.70",523.73K,-0.23%
2022-07-15,"1,179.25","1,182.17","1,189.66","1,178.12",604.01K,-0.25%
2022-07-14,"1,182.17","1,173.92","1,182.17","1,170.04",534.74K,0.70%
2022-07-13,"1,173.92","1,173.46","1,182.21","1,170.92",564.00K,-0.08%
2022-07-12,"1,174.82","1,155.29","1,174.82","1,153.55",525.11K,1.69%
2022-07-11,"1,155.29","1,171.31","1,171.31","1,144.55",538.71K,-1.37%
2022-07-08,"1,171.31","1,166.48","1,177.18","1,164.23",476.37K,0.41%
2022-07-07,"1,166.48","1,149.61","1,166.48","1,142.80",411.79K,1.47%
2022-07-06,"1,149.61","1,181.29","1,181.29","1,147.63",556.46K,-2.68%
2022-07-05,"1,181.29","1,195.53","1,200.99","1,181.29",612.00K,-1.19%
2022-07-04,"1,195.53","1,206.47","1,208.96","1,192.63",442.82K,-0.28%
2022-07-01,"1,198.90","1,197.60","1,202.41","1,170.95",534.07K,0.11%
2022-06-30,"1,197.60","1,218.09","1,220.51","1,197.60",510.22K,-1.68%
2022-06-29,"1,218.09","1,218.10","1,219.58","1,207.38",560.59K,0.00%
2022-06-28,"1,218.10","1,202.82","1,221.74","1,198.99",588.39K,1.27%
2022-06-27,"1,202.82","1,185.48","1,203.51","1,185.48",526.96K,1.46%
2022-06-24,"1,185.48","1,188.88","1,196.85","1,185.48",478.69K,-0.29%
2022-06-23,"1,188.88","1,169.27","1,188.88","1,162.06",440.78K,1.68%
2022-06-22,"1,169.27","1,172.47","1,185.86","1,162.98",592.48K,-0.27%
2022-06-21,"1,172.47","1,180.40","1,189.97","1,162.94",694.93K,-0.67%
2022-06-20,"1,180.40","1,218.37","1,221.60","1,180.40",669.55K,-3.03%
2022-06-17,"1,217.30","1,236.63","1,236.63","1,191.92",738.58K,-1.56%
2022-06-16,"1,236.63","1,213.93","1,246.32","1,213.93",561.69K,1.87%
2022-06-15,"1,213.93","1,230.31","1,235.56","1,195.19",688.12K,-1.33%
2022-06-14,"1,230.31","1,227.04","1,239.36","1,211.13",560.89K,0.27%
2022-06-13,"1,227.04","1,284.08","1,284.08","1,226.01",733.45K,-4.44%
2022-06-10,"1,284.08","1,307.80","1,309.59","1,284.08",603.29K,-1.81%
2022-06-09,"1,307.80","1,307.91","1,312.44","1,300.85",465.66K,-0.01%
2022-06-08,"1,307.91","1,291.35","1,316.78","1,291.35",584.57K,1.28%
2022-06-07,"1,291.35","1,290.01","1,291.35","1,260.92",670.87K,0.10%
2022-06-06,"1,290.01","1,287.98","1,302.14","1,281.95",589.89K,0.16%
2022-06-03,"1,287.98","1,288.62","1,292.78","1,276.37",473.81K,-0.05%
2022-06-02,"1,288.62","1,299.52","1,302.66","1,283.32",572.55K,-0.84%
2022-06-01,"1,299.52","1,292.68","1,302.25","1,286.01",573.63K,0.53%
2022-05-31,"1,292.68","1,293.92","1,297.64","1,280.44",591.09K,-0.10%
2022-05-30,"1,293.92","1,285.45","1,296.22","1,281.27",587.23K,0.66%
2022-05-27,"1,285.45","1,268.57","1,286.99","1,268.57",607.22K,1.33%
2022-05-26,"1,268.57","1,268.43","1,278.11","1,261.55",541.91K,0.01%
2022-05-25,"1,268.43","1,233.38","1,268.43","1,233.38",655.24K,2.84%
2022-05-24,"1,233.38","1,218.81","1,233.38","1,203.28",528.48K,1.20%
2022-05-23,"1,218.81","1,240.71","1,246.58","1,207.99",557.43K,-1.77%
2022-05-20,"1,240.71","1,241.64","1,252.96","1,232.33",504.69K,-0.07%
2022-05-19,"1,241.64","1,240.76","1,246.66","1,210.43",496.73K,0.07%
